"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
12030 Central Library,,,,,,46.00,
12031 Great Neck Area Library,,,,,,11.50,
12032 Bayside Area Library,,,,,,22.50,
12033 Oceanfront Area Library,,,,,,16.50,
12034 Kempsville Area Library,,,,,,21.50,
12035 Windsor Woods Area Library,,,,,,11.50,
12036 Pungo - Blackwater Area Library,,,,,,6.00,
12038 Princess Anne Area Library,,,,,,23.50,
12040 GrowSmart,,,,,,2.00,
12050 South Rosemont Youth Library,,,,,,6.50,
12051 Mobile Services,,,,,,5.00,
12052 Municipal Reference (FY 2008-09),,,,,,0.00,
12053 Records Management,,,,,,4.50,
12070 Cataloging Services,,,,,,8.00,
12071 Technology Services,,,,,,5.00,
12072 Collection Management,,,,,,14.00,
12500 Youth and Family Services,,,,,,6.00,
,,,,,,,
,,,,0120 Library  ,,225.00,
0130 Planning  ,,,,,,,
13010 Director's Office,,,,,,12.00,
13011 Comprehensive Planning,,,,,,7.00,
13020 Environment and Sustainability Office,,,,,,1.00,
13030 Development Services,,,,,,18.00,
13035 PU - Development Services,,,,,,3.00,
13040 Current Planning,,,,,,23.00,
13050 Permits Administration,,,,,,12.00,
13051 Building Inspections,,,,,,37.00,
,,,,,,,
,,,,0130 Planning  ,,113.00,
0140 Agriculture  ,,,,,,,
14001 Director's Office,,,,,,3.00,
14010 Cooperative Extension Program,,,,,,6.00,
14110 Farmers Market,,,,,,2.00,
,,,,,,,
,,,,0140 Agriculture  ,,11.00,
0150 Economic Development  ,,,,,,,
15010 Director of Economic Development,,,,,,15.00,
0171 General Registrar  ,,,,,,,
17010 General Registrar,,,,,,12.03,
0172 City Auditor  ,,,,,,,
17180 City Auditor,,,,,,6.00,
0180 Non-Departmental  ,,,,,,,
18100 Cultural Affairs,,,,,,3.00,
18200 Strategic Growth Area,,,,,,5.00,
18210 Resort Programs and Special Events,,,,,,5.00,
,,,,,,,
,,,0180 Non-Departmental  ,,,13.00,
0190 Fire  ,,,,,,,
19010 Fire Marshall's Office,,,,,,54.71,
19011 Emergency Management,,,,,,3.00,
19020 Fire Operations,,,,,,399.00,
19021 Fire Training,,,,,,9.00,
,,,,,,,
,,,,,0190 Fire  ,465.71,
0210 Communications and Information Technology  ,,,,,,,
21010 Multimedia Services,,,,,,15.00,
21041 Emergency Communications,,,,,,0.00,
21114 Mail Service,,,,,,4.00,
21120 ComIT Business Center,,,,,,10.00,
21121 Applications Support,,,,,,48.00,
21122 Support Center,,,,,,2.80,
21123 Systems Support,,,,,,43.00,
21124 Center for Geospatial Information Services,,,,,,18.00,
21126 Information Security and Privacy Office,,,,,,3.00,
21127 Technology Project Management Office,,,,,,6.00,
21128 GF Telecommunications,,,,,,8.00,
,,,,,,,
,0210 Communications and Information Technology  ,,,,,,157.80
,,,,,,,
GovMax V5,,,,,3,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
0220 Emergency Communications and Citizen Services  ,,,,,,,
22010 Emergency Communications,,,,,,106.00,
22020 Citizen Services,,,,,,16.00,
,,,,,,,
,0220 Emergency Communications and Citizen Services  ,,,,,,122.00
0240 Human Services  ,,,,,,,
24001 Central Administraton,,,,,,7.00,
24002 Information Technology Services,,,,,,1.00,
24003 Reimbursement,,,,,,14.00,
24004 Quality Assurance,,,,,,4.50,
24005 Personnel,,,,,,7.00,
24006 Accounts Payable,,,,,,6.50,
24007 Transportation,,,,,,25.87,
24101 MHSA Program Support,,,,,,11.75,
24102 Senior Adult Services,,,,,,3.63,
24103 Adult Outpatient Services,,,,,,49.14,
24104 MH Community Rehabilitation,,,,,,20.53,
24105 MH Emergency Services,,,,,,18.75,
24106 Child and Youth Services,,,,,,32.56,
24108 Residential Services,,,,,,25.49,
24112 MH Case Management Unit,,,,,,34.00,
24121 MH PATH,,,,,,2.50,
24123 Harbour,,,,,,5.31,
24201 DS Program Clinical Support,,,,,,5.00,
24202 DS Case Management,,,,,,31.73,
24203 DS Employment Services,,,,,,19.00,
24204 DS Skillquest,,,,,,40.95,
24205 DS Respite Care Program,,,,,,6.60,
24206 DS Infant Program,,,,,,7.30,
24207 DS Supportive Living,,,,,,50.18,
24210 DS Supportive Living - Homes,,,,,,38.79,
24211 DS Kentucky Avenue Project,,,,,,22.00,
24212 DS Early Intervention,,,,,,3.00,
24213 DS Colby Way ICF/MR,,,,,,10.15,
24214 DS BizNet Village,,,,,,55.00,
24303 Detoxification Services,,,,,,28.27,
24304 MHSA Adult Day Treatment Services,,,,,,6.00,
24305 SA Prevention,,,,,,9.63,
24313 SA Adult Correctional Services,,,,,,9.50,
24314 SA - HIV Prevention,,,,,,1.00,
24315 SA - Project LINK,,,,,,4.95,
24401 Child Services,,,,,,101.00,
24402 Benefit Program,,,,,,147.79,
24403 Employment Services,,,,,,46.00,
24404 Community Services,,,,,,0.00,
24405 Adult Services,,,,,,14.50,
24501 Virginia Beach Juvenile Detention Center,,,,,,67.56,
24602 Pendleton Child Service Center,,,,,,23.25,
24702 CSA Administration and Social Services,,,,,,2.00,
,,,,,,,
,,0240 Human Services  ,,,,"1,020.68",
0260 Emergency Medical Services  ,,,,,,,
26010 Administration,,,,,,7.50,
26020 Operations,,,,,,2.00,
26021 Emergency Response System,,,,,,37.00,
26030 Training,,,,,,7.00,
26050 Regulation and Enforcement,,,,,,3.00,
26060 EMS Lifeguard Services,,,,,,6.05,
,,,,,,,
,,0260 Emergency Medical Services  ,,,,62.55,
,,,,,,,
GovMax V5,,,,,4,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
0270 Museums  ,,,,,,,
27020 Aquarium and Marine Science Center,,,,,,27.26,
27021 Gift Shop,,,,,,10.22,
27022 Custodial Services,,,,,,7.50,
27023 IMAX Theater,,,,,,4.58,
27024 Education,,,,,,15.59,
27025 Exhibits,,,,,,44.53,
27026 Marketing,,,,,,4.00,
27027 Research and Conservation,,,,,,3.81,
27029 Aquarium Foundation,,,,,,25.94,
27100 Francis Land House,,,,,,1.88,
27101 Adam Thoroughgood House,,,,,,1.72,
27102 Lynnhaven House,,,,,,0.67,
27103 Historic Homes Administration,,,,,,3.75,
27200 Historic Preservation,,,,,,0.00,
,,,,,,,
,,,,0270 Museums  ,,151.45,
0290 Management Services  ,,,,,,,
29010 Management and Budget Analysis,,,,,,15.00,
0390 Convention and Visitors Bureau  ,,,,,,,
39010 Director's Office,,,,,,10.00,
39020 Tourism Marketing and Sales,,,,,,6.00,
39024 Sports Marketing,,,,,,3.00,
39030 Convention Marketing and Sales,,,,,,12.00,
39041 Virginia Beach Convention Center,,,,,,72.13,
,,,,,,,
,,0390 Convention and Visitors Bureau  ,,,,103.13,
0400 Housing and Neighborhood Preservation  ,,,,,,,
40110 Code Enforcement,,,,,,21.90,
,,,,,,,
,,,  002 General Fund  ,,,"4,871.75",
,,,,,,,
,  106 School Technology Category Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0500 Education  ,,,,,,,
50026 Technology,,,,,,186.00,
,,,,,,,
,  106 School Technology Category Special Revenue Fund  ,,,,,1.00,186.00
,,,,,,,
,,  114 School Cafeteria Fund  ,,,,,
,,,,,,FTE,
0500 Education  ,,,,,,,
50050 Food Services,,,,,,492.89,
,,,,,,,
,,,  114 School Cafeteria Fund  ,,,,492.89
,,,,,,,
,,  115 School Operating Fund  ,,,,,
,,,,,,FTE,
0500 Education  ,,,,,,,
50010 Instruction,,,,,,"7,034.95",
"50021 Administration, Attendance, and Health",,,,,,286.30,
50023 Pupil Transportation,,,,,,667.13,
50024 Operations and Maintenance,,,,,,"1,156.50",
,,,,,,,
,,,,0500 Education  ,,"9,144.88",
,,,,,,,
,,,  115 School Operating Fund  ,,,,"9,144.88"
,,,,,,,
,,,  116 School Grants Fund  ,,,,
,,,,,,FTE,
0500 Education  ,,,,,,,
50121 School Grants,,,,,,651.00,
,,,,,,,
,,,  116 School Grants Fund  ,,,,651.00
,,,,,,,
GovMax V5,,,,,5,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
,,  117 School Textbook Fund  ,,,,,
,,,,,,FTE,
0500 Education  ,,,,,,,
50099 Textbook,,,,,,1.50,
,,,,,,,
,,,  117 School Textbook Fund  ,,,,1.50
,,,,,,,
,,,  130 Law Library Fund  ,,,,
,,,,,,FTE,
0120 Library  ,,,,,,,
12011 Law Library,,,,,,2.50,
,,,,,,,
,,,  130 Law Library Fund  ,,,2.50,
,,,,,,,
,  147 Federal Section 8 Program Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0400 Housing and Neighborhood Preservation  ,,,,,,,
40300 Section 8 Operating,,,,,,18.37,
,,,,,,,
,  147 Federal Section 8 Program Special Revenue Fund  ,,,,,,18.37
,,,,,,,
,  149 Sheriff's Department Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0063 Sheriff and Corrections  ,,,,,,,
06032 Sheriff's Office,,,,,,23.43,
06033 Court Support Services,,,,,,61.84,
06034 Correctional Operations,,,,,,362.60,
06036 Centralized Booking,,,,,,37.00,
06037 D.A.R.E. - Sheriff,,,,,,11.00,
06038 Sheriff's Workforce,,,,,,13.00,
06132 Law Enforcement Training,,,,,,1.00,
,,,,,,,
,,,0063 Sheriff and Corrections  ,,,,509.87
,,,,,,,
,  149 Sheriff's Department Special Revenue Fund  ,,,,,509.87,
,,,,,,,
,  150 Inmate Services Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0063 Sheriff and Corrections  ,,,,,,,
06039 Inmate Services,,,,,,14.50,
,,,,,,,
,,  150 Inmate Services Special Revenue Fund  ,,,,14.50,
,,,,,,,
GovMax V5,,,,,6,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
,  151 Parks and Recreation Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0100 Public Works  ,,,,,,,
10676 Recreation Centers Building Maintenance,,,,,,4.00,
0110 Parks and Recreation  ,,,,,,,
11010 Director's Office,,,,,,2.00,
"11011 Planning, Design and Development",,,,,,7.00,
11012 Business Systems,,,,,,11.00,
11013 Parks and Recreation Human Resources,,,,,,7.72,
11022 Parks and Natural Areas,,,,,,48.72,
11023 Lynnhaven Boat Ramp and Beach Facility,,,,,,4.40,
11024 Programming,,,,,,10.61,
11026 Sportsplex Operations,,,,,,0.00,
11027 Little Island Park,,,,,,7.48,
11035 Owl Creek Municipal Tennis Center,,,,,,3.36,
11054 Golf Administration,,,,,,3.00,
11055 Red Wing Golf Course,,,,,,11.12,
11056 Bow Creek Golf Course,,,,,,8.53,
11057 Kempsville Greens Golf Course,,,,,,9.15,
11070 CRC - Kempsville,,,,,,56.01,
11071 CRC - Bow Creek,,,,,,37.75,
11072 Seatack Community Center,,,,,,26.08,
11073 CRC - Great Neck,,,,,,45.29,
11074 CRC - Bayside,,,,,,50.57,
11075 CRC - Princess Anne,,,,,,54.53,
11080 Programming and Operations Administration,,,,,,6.26,
11081 Resource Development,,,,,,7.00,
11082 Youth Opportunities Office,,,,,,2.00,
11083 Athletics,,,,,,13.05,
11085 Therapeutic Program,,,,,,13.90,
11086 Athletic Complex,,,,,,6.32,
11088 Inclusion Services,,,,,,10.39,
11089 Out-of-Schoool Time,,,,,,129.73,
11187 Special Zone Management - Princess Anne Athletic Complex,,,,,,7.00,
,,,,,,,
,,,0110 Parks and Recreation  ,,,,599.97
,,,,,,,
,  151 Parks and Recreation Special Revenue Fund  ,,,,,,603.97
,,,,,,,
,,  152 Tourism Growth Investment Fund  ,,,,,
,,,,,,FTE,
0100 Public Works  ,,,,,,,
10625 TGIF Beach Operations,,,,,,5.00,
10659 TGIF Resort Building Maintenance,,,,,,8.00,
,,,,,,,
,,,0100 Public Works  ,,,13.00,
0110 Parks and Recreation  ,,,,,,,
11048 Special Zone Management - TGIF Resort Area,,,,,,1.00,
,,,,,,,
,,  152 Tourism Growth Investment Fund  ,,,,14.00,
,,,,,,,
,  161 Agriculture Reserve Program Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0140 Agriculture  ,,,,,,,
14310 Agricultural Reserve Program,,,,,,1.00,
,,,,,,,
,  161 Agriculture Reserve Program Special Revenue Fund  ,,,,,1.00,1.00
,,,,,,,
,  163 Tourism Advertising Program Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0390 Convention and Visitors Bureau  ,,,,,,,
39021 Visitor Information Center,,,,,,10.39,
,,,,,,,
,  163 Tourism Advertising Program Special Revenue Fund  ,,,,,11.00,10.39
,,,,,,,
GovMax V5,,,,,7,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
,,  172 Open Space Special Revenue Fund  ,,,,,
,,,,,,FTE,
0110 Parks and Recreation  ,,,,,,,
11038 Open Space Management and Maintenance,,,,,,5.40,
11039 Open Space Planning,,,,,,2.00,
,,,,,,,
,,,0110 Parks and Recreation  ,,,,7.40
,,,,,,,
,,  172 Open Space Special Revenue Fund  ,,,,7.40,
,,,,,,,
,,  175 Golf Course Special Revenue Fund  ,,,,,
,,,,,,FTE,
0110 Parks and Recreation  ,,,,,,,
11050 Red Wing Golf Course,,,,,,0.00,
11051 Bow Creek Golf Course,,,,,,0.00,
11052 Kempsville Greens Golf Course,,,,,,0.00,
,,,,,,,
,,,0110 Parks and Recreation  ,,,,0.00
,,,,,,,
,,  175 Golf Course Special Revenue Fund  ,,,,0.00,
,,,,,,,
,  180 Community Development Special Revenue Fund  ,,,,,,
,,,,,,FTE,
0400 Housing and Neighborhood Preservation  ,,,,,,,
40120 Certificate of Compliance Program,,,,,,7.90,
40140 Rehabilitation and Construction,,,,,,7.75,
40952 Director's Office,,,,,,2.67,
"40958 Strategy, Policy and Resource Division",,,,,,5.83,
,,,,,,,
,0400 Housing and Neighborhood Preservation  ,,,,,24.15,
,,,,,,,
,  180 Community Development Special Revenue Fund  ,,,,,,24.15
,,,,,,,
,  182 Federal Housing Assistance Grant Fund  ,,,,,,
,,,,,,FTE,
0400 Housing and Neighborhood Preservation  ,,,,,,,
40953 Federal HOME Grants,,,,,,2.18,
,,,,,,,
,  182 Federal Housing Assistance Grant Fund  ,,,,,2.18,
,,,,,,,
,,  183 Grants Consolidated Fund  ,,,,,
,,,,,,FTE,
0062 Commonwealth's Attorney  ,,,,,,,
06952 Commonwealth's Attorney - Grants,,,,,,6.50,
0090 Police  ,,,,,,,
09951 Police - Uniform Patrol Grants,,,,,,1.00,
0190 Fire  ,,,,,,,
19951 Fire - Grants,,,,,,0.00,
19953 Fire Program Grants,,,,,,1.00,
,,,,,,,
,,,,,0190 Fire  ,1.00,
0240 Human Services  ,,,,,,,
24912 Hard to Serve Grant,,,,,,2.00,
24921 Social Services - Revenue Max Grants,,,,,,0.00,
24951 Community Corrections and Pre-Trial,,,,,,23.00,
,,,,,,,
,,0240 Human Services  ,,,,25.00,
0400 Housing and Neighborhood Preservation  ,,,,,,,
40951 Housing Grants,,,,,,0.34,
40957 Housing Grants - ESG,,,,,,0.06,
,,,,,,,
,0400 Housing and Neighborhood Preservation  ,,,,,0.40,
,,,,,,,
,,  183 Grants Consolidated Fund  ,,,,33.90,
,,,,,,,
GovMax V5,,,,,8,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
,,  241 Water and Sewer Fund  ,,,,,
,,,,,,FTE,
0200 Public Utilities  ,,,,,,,
20010 Director's Office,,,,,,3.00,
20011 Engineering,,,,,,81.00,
20030 Operations Administration,,,,,,21.00,
20031 Water Distribution,,,,,,41.00,
20032 Water Pump Stations,,,,,,25.00,
20034 Meter Operations,,,,,,45.00,
20041 Sewer Collection,,,,,,64.00,
20042 Sewer Pump Stations,,,,,,59.00,
20050 Business Division,,,,,,65.50,
,,,,,,,
,,,0200 Public Utilities  ,,,404.50,
,,,,,,,
,,,  241 Water and Sewer Fund  ,,,,404.50
,,,,,,,
,,  253 Parking Enterprise Fund  ,,,,,
,,,,,,FTE,
0180 Non-Departmental  ,,,,,,,
18230 Parking Enterprise Fund,,,,,,5.00,
,,,,,,,
,,,  253 Parking Enterprise Fund  ,,,,5.00
,,,,,,,
,,  255 Storm Water Utility Enterprise Fund  ,,,,,
,,,,,,FTE,
0100 Public Works  ,,,,,,,
10701 SWU - Project Management,,,,,,11.00,
10702 SWU - Customer Service,,,,,,2.00,
10703 SWU - Operations and Maintenance,,,,,,75.00,
10704 SWU - Inspections and Environmental Spill Response,,,,,,5.00,
10705 SWU - Residential Street Sweeping,,,,,,1.00,
,,,,,,,
,,,0100 Public Works  ,,,94.00,
,,,,,,,
,,  255 Storm Water Utility Enterprise Fund  ,,,,94.00,
,,,,,,,
,,  604 Print Shop Internal Service Fund  ,,,,,
,,,,,,FTE,
0210 Communications and Information Technology  ,,,,,,,
21113 City/Schools Printing Services,,,,,,12.00,
,,,,,,,
,,  604 Print Shop Internal Service Fund  ,,,,12.00,
,,,,,,,
,,  606 City Garage Internal Service Fund  ,,,,,
,,,,,,FTE,
0100 Public Works  ,,,,,,,
10320 Automotive Services,,,,,,79.00,
,,,,,,,
,,  606 City Garage Internal Service Fund  ,,,,79.00,
,,,,,,,
,  607 Risk Management Internal Service Fund  ,,,,,,
,,,,,,FTE,
0040 Finance  ,,,,,,,
04036 Risk Management,,,,,,7.00,
,,,,,,,
,  607 Risk Management Internal Service Fund  ,,,,,7.00,
,,,,,,,
,  613 School Landscaping Internal Service Fund  ,,,,,,
,,,,,,FTE,
0110 Parks and Recreation  ,,,,,,,
11049 Schools Landscaping,,,,,,68.00,
,,,,,,,
,  613 School Landscaping Internal Service Fund  ,,,,,68.00,
,,,,,,,
GovMax V5,,,,,9,,
,,,,,,,
"FY 2011 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,,
City of Virginia Beach,,,,,,,
,,,,,,,
,  620 Telecommunications Internal Service Fund  ,,,,,,
,,,,,,FTE,
0210 Communications and Information Technology  ,,,,,,,
21130 Telecommunications,,,,,,10.00,
,,,,,,,
,  620 Telecommunications Internal Service Fund  ,,,,,10.00,
,,,,,,,
,,,Report Grand Total,,,"17,269.75",
,,,,,,,
GovMax V5,,,,,10,,
