"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
12038 Princess Anne Area Library,,,,,26.00,
12040 Ready to Learn,,,,,2.00,
12050 South Rosemont Youth Library,,,,,8.50,
12051 Mobile Services,,,,,5.25,
12052 Municipal Reference,,,,,0.00,
12053 Records Management,,,,,5.50,
12070 Cataloging Services,,,,,11.00,
12071 Automated Services,,,,,3.00,
12072 Collection Management,,,,,15.00,
12500 Youth and Family Services,,,,,5.00,
,,,,,,
,,,,0120 Library  ,258.35,
0130 Planning and Community Development  ,,,,,,
13010 Director's Office,,,,,15.00,
13011 Comprehensive Planning,,,,,7.00,
13020 Environmental Management Center,,,,,2.00,
13030 Development Services,,,,,19.00,
13035 PU - Development Services,,,,,3.00,
13040 Current Planning,,,,,24.00,
13050 Permits Administration,,,,,13.00,
13051 Building Inspections,,,,,40.00,
,,,,,,
,0130 Planning and Community Development  ,,,,123.00,
0140 Agriculture  ,,,,,,
14001 Director's Office,,,,,4.00,
14010 Cooperative Extension Program,,,,,6.00,
14110 Farmers' Market,,,,,2.00,
,,,,,,
,,,,0140 Agriculture  ,12.00,
0150 Economic Development  ,,,,,,
15010 Director of Economic Development,,,,,16.00,
0171 General Registrar  ,,,,,,
17010 General Registrar,,,,,12.03,
0172 City Auditor  ,,,,,,
17180 City Auditor,,,,,6.00,
0180 Non-Departmental  ,,,,,,
18100 Cultural Affairs,,,,,3.00,
18200 Strategic Growth Area,,,,,2.00,
,,,,,,
,,,0180 Non-Departmental  ,,5.00,
0190 Fire  ,,,,,,
19010 Fire Marshall's Office,,,,,53.84,
19011 Emergency Management,,,,,3.00,
19020 Fire Operations,,,,,400.00,
19021 Fire Training,,,,,10.00,
,,,,,,
,,,,,466.84,
0210 Communications and Information Technology  ,,,,,,
21010 MultimediaServices,,,,,19.30,
21041 Emergency Communications,,,,,0.00,
21114 Mail Service,,,,,5.00,
21120 ComIT Business Center,,,,,11.00,
21121 Applications Support,,,,,47.00,
21122 Operations Support,,,,,8.50,
21123 Systems Support,,,,,43.00,
21124 Center for Geospatial Information Services,,,,,18.00,
21125 3-1-1 Citizen Services,,,,,0.00,
21126 Information Security and Privacy Office,,,,,3.00,
21127 Technology Project Management Office,,,,,5.00,
21128 GF Telecommunications,,,,,4.00,
,,,,,,
,0210 Communications and Information Technology  ,,,,,163.80
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
0220 Emergency Communications and Citizen Services  ,,,,,,
22010 Emergency Communications,,,,,120.00,
22020 Citizen Services,,,,,7.00,
,,,,,,
,0220 Emergency Communications and Citizen Services  ,,,,,127.00
0240 Human Services  ,,,,,,
24001 Central Administraton,,,,,7.00,
24002 Information Technology Services,,,,,4.00,
24003 Reimbursement,,,,,14.00,
24004 Quality Assurance,,,,,3.50,
24005 Personnel,,,,,8.00,
24006 Accounts Payable,,,,,6.50,
24007 Transportation,,,,,25.87,
24101 MHSA Program Support,,,,,11.75,
24102 Senior Adult Services,,,,,5.38,
24103 Adult Outpatient Services,,,,,52.14,
24104 MH Community Rehabilitation,,,,,21.53,
24105 MH Emergency Services,,,,,17.75,
24106 Child and Youth Services,,,,,30.49,
24108 Residential Services,,,,,23.74,
24112 MH Case Management Unit,,,,,34.00,
24121 MH PATH,,,,,1.50,
24123 Harbour,,,,,5.81,
24201 MR Program Clinical Support,,,,,5.63,
24202 MR Case Management,,,,,30.10,
24203 MR Employment Services,,,,,19.00,
24204 MR Skillquest,,,,,41.95,
24205 MR Respite Care Program,,,,,6.60,
24206 MR Infant Stimulation Program,,,,,7.30,
24207 MR Supportive Living,,,,,44.30,
24210 MR Supportive Living - Homes,,,,,46.67,
24211 MR Kentucky Avenue Project,,,,,21.50,
24212 MR Early Intervention,,,,,3.00,
24213 Colby Way ICF/MR,,,,,10.65,
24214 BizNet Village,,,,,54.00,
24303 Detoxification Services,,,,,31.27,
24304 MHSA Adult Day Treatment Services,,,,,6.00,
24305 SA Prevention,,,,,9.13,
24313 SA Adult Correctional Services,,,,,9.50,
24314 SA - HIV Prevention,,,,,2.00,
24315 SA - Project LINK,,,,,5.95,
24401 Child Services,,,,,91.00,
24402 Benefit Program,,,,,142.79,
24403 Employment Services,,,,,49.00,
24404 Community Services,,,,,15.50,
24405 Adult Services,,,,,15.00,
24501 Virginia Beach Juvenile Detention Center,,,,,77.50,
24602 Pendleton Child Service Center,,,,,30.61,
24702 CSA Administration and Social Services,,,,,1.00,
,,,,,,
,,0240 Human Services  ,,,"1,049.91",
0260 Emergency Medical Services  ,,,,,,
26010 Administration,,,,,7.50,
26020 Operations,,,,,2.00,
26021 Emergency Medical and Rescue Response,,,,,37.00,
26030 Training,,,,,7.00,
26050 Regulation and Enforcement,,,,,3.00,
,,,,,,
,,0260 Emergency Medical Services  ,,,56.50,
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
0270 Museums  ,,,,,,
27020 Aquarium and Marine Science Center,,,,,23.77,
27021 Gift Shop,,,,,9.47,
27022 Custodial Services,,,,,8.50,
27023 IMAX Theater,,,,,4.26,
27024 Education,,,,,17.91,
27025 Exhibits,,,,,42.53,
27026 Marketing,,,,,4.00,
27027 Research and Conservation,,,,,3.80,
27029 Aquarium Foundation,,,,,27.94,
27100 Francis Land House,,,,,2.05,
27101 Adam Thoroughgood House,,,,,2.25,
27102 Lynnhaven House,,,,,0.95,
27103 Historic Homes Administration,,,,,4.00,
,,,,,,
,,,,0270 Museums  ,151.43,
0290 Management Services  ,,,,,,
29010 Management and Budget Analysis,,,,,17.00,
29011 Facilities Management,,,,,3.00,
,,,,,,
,,,0290 Management Services  ,,,20.00
0390 Convention and Visitor Bureau  ,,,,,,
39010 Director's Office,,,,,10.54,
39011 Resort Programs and Special Events,,,,,6.00,
39020 Tourism Marketing and Sales,,,,,5.00,
39024 Sports Marketing,,,,,3.00,
39030 Convention Marketing and Sales,,,,,13.00,
39041 Virginia Beach Convention Center,,,,,78.98,
,,,,,,
,,0390 Convention and Visitor Bureau  ,,,116.52,
0400 Housing and Neighborhood Preservation  ,,,,,,
40110 Code Enforcement,,,,,23.02,
,,,,,,
,,,  002 General Fund  ,,"5,019.02",
,,,,,,
,,  114 School Cafeteria Fund  ,,,,
,,,,,FTE,
0500 Education  ,,,,,,
50050 Food Services,,,,,493.89,
,,,,,,
,,,  114 School Cafeteria Fund  ,,,493.89
,,,,,,
,,  115 School Operating Fund  ,,,,
,,,,,FTE,
0500 Education  ,,,,,,
50010 Instruction,,,,,"7,256.35",
"50021 Administration, Attendance, and Health",,,,,297.30,
50023 Pupil Transportation,,,,,667.13,
50024 Operations and Maintenance,,,,,"1,233.50",
,,,,,,
,,,,0500 Education  ,"9,454.28",
,,,,,,
,,,  115 School Operating Fund  ,,,"9,454.28"
,,,,,,
,,,  116 School Grants Fund  ,,,
,,,,,FTE,
0500 Education  ,,,,,,
50121 School Grants,,,,,497.50,
,,,,,,
,,,  116 School Grants Fund  ,,,497.50
,,,,,,
,,  117 School Textbook Fund  ,,,,
,,,,,FTE,
0500 Education  ,,,,,,
50099 Textbook,,,,,1.50,
,,,,,,
,,,  117 School Textbook Fund  ,,,1.50
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
,,,  130 Law Library Fund  ,,,
,,,,,FTE,
0120 Library  ,,,,,,
12011 Law Library,,,,,2.50,
,,,,,,
,,,  130 Law Library Fund  ,,2.50,
,,,,,,
,  147 Federal Section 8 Program Special Revenue Fund  ,,,,,
,,,,,FTE,
0400 Housing and Neighborhood Preservation  ,,,,,,
40300 Section 8 Operating,,,,,16.91,
,,,,,,
,  147 Federal Section 8 Program Special Revenue Fund  ,,,,,16.91
,,,,,,
,  149 Sheriff's Department Special Revenue Fund  ,,,,,
,,,,,FTE,
0063 Sheriff and Corrections  ,,,,,,
06032 Sheriff's Office,,,,,23.43,
06033 Court Support Services,,,,,63.84,
06034 Correctional Operations,,,,,362.60,
06035 Work Release Facility,,,,,1.00,
06036 Centralized Booking,,,,,37.00,
06037 D.A.R.E. - Sheriff,,,,,11.00,
06038 Sheriff's Workforce,,,,,13.00,
06132 Law Enforcement Training,,,,,1.00,
,,,,,,
,,,0063 Sheriff and Corrections  ,,,512.87
,,,,,,
,  149 Sheriff's Department Special Revenue Fund  ,,,,512.87,
,,,,,,
,  150 Inmate Services Special Revenue Fund  ,,,,,
,,,,,FTE,
0063 Sheriff and Corrections  ,,,,,,
06039 Inmate Services,,,,,11.50,
,,,,,,
,,  150 Inmate Services Special Revenue Fund  ,,,11.50,
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
,  151 Parks and Recreation Special Revenue Fund  ,,,,,
,,,,,FTE,
0100 Public Works  ,,,,,,
10670 Kempsville Recreation Center Maintenance,,,,,1.00,
10671 Bow Creek Recreation Center Maintenance,,,,,0.00,
10672 Seatack Community Center Maintenance,,,,,0.00,
10673 Great Neck Recreation Center Maintenance,,,,,1.00,
10674 Bayside Recreation Center Maintenance,,,,,1.00,
10675 Princess Anne Recreation Center Maintenance,,,,,1.00,
,,,,,,
,,,0100 Public Works  ,,4.00,
0110 Parks and Recreation  ,,,,,,
11010 Director's Office,,,,,2.00,
"11011 Planning, Design and Development",,,,,7.00,
11012 Business Systems,,,,,12.00,
11013 Parks and Recreation Human Resources,,,,,8.22,
11022 Parks Operations and Services,,,,,57.20,
11023 Lynnhaven Boat Ramp and Beach Facility,,,,,4.40,
11024 Parks Special Events,,,,,10.61,
11026 Sportsplex Operations,,,,,0.00,
11035 Owl Creek Municipal Tennis Center,,,,,3.36,
11070 CRC - Kempsville,,,,,57.31,
11071 CRC - Bow Creek,,,,,37.75,
11072 Seatack Community Center,,,,,26.08,
11073 CRC - Great Neck,,,,,47.54,
11074 CRC - Bayside,,,,,49.97,
11075 CRC - Princess Anne,,,,,53.13,
11080 Programming and Operations Administration,,,,,5.00,
11081 Resource Development,,,,,7.00,
11082 Youth Opportunities Office,,,,,2.00,
11083 Athletics,,,,,13.67,
11085 Therapeutic Program,,,,,5.00,
11086 Athletic Complex,,,,,6.24,
11088 Inclusion Services,,,,,10.39,
11089 Community Recreation Services,,,,,141.57,
11185 USFHA Field Hockey Training Center,,,,,0.00,
11187 Princess Anne Athletic Complex Maintenance,,,,,8.00,
,,,,,,
,,,0110 Parks and Recreation  ,,,575.44
,,,,,,
,  151 Parks and Recreation Special Revenue Fund  ,,,,,579.44
,,,,,,
,,  152 Tourism Growth Investment Fund  ,,,,
,,,,,FTE,
0100 Public Works  ,,,,,,
10625 TGIF Beach Operations,,,,,5.00,
10659 TGIF Resort Building Maintenance,,,,,8.00,
,,,,,,
,,,0100 Public Works  ,,13.00,
0110 Parks and Recreation  ,,,,,,
11048 TGIF Resort Area Landscaping,,,,,1.00,
,,,,,,
,,  152 Tourism Growth Investment Fund  ,,,14.00,
,,,,,,
,  161 Agriculture Reserve Program Special Revenue Fund  ,,,,,
,,,,,FTE,
0140 Agriculture  ,,,,,,
14310 Agricultural Reserve Program,,,,,1.00,
,,,,,,
,  161 Agriculture Reserve Program Special Revenue Fund  ,,,,1.00,1.00
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
,  163 Tourism Advertising Program Special Revenue Fund  ,,,,,
,,,,,FTE,
0390 Convention and Visitor Bureau  ,,,,,,
39021 Visitor Information Center,,,,,8.39,
39022 Tourism and Convention Advertising,,,,,2.00,
,,,,,,
,,0390 Convention and Visitor Bureau  ,,,10.39,
,,,,,,
,  163 Tourism Advertising Program Special Revenue Fund  ,,,,11.00,10.39
,,,,,,
,,  172 Open Space Special Revenue Fund  ,,,,
,,,,,FTE,
0110 Parks and Recreation  ,,,,,,
11038 Open Space Management and Maintenance,,,,,5.40,
11039 Open Space Planning,,,,,1.00,
,,,,,,
,,,0110 Parks and Recreation  ,,,6.40
,,,,,,
,,  172 Open Space Special Revenue Fund  ,,,6.40,
,,,,,,
,,  175 Golf Course Special Revenue Fund  ,,,,
,,,,,FTE,
0110 Parks and Recreation  ,,,,,,
11050 Red Wing Golf Course,,,,,12.52,
11051 Bow Creek Golf Course,,,,,9.15,
11052 Kempsville Greens Golf Course,,,,,11.65,
11053 Golf Administration,,,,,3.00,
,,,,,,
,,,0110 Parks and Recreation  ,,,36.32
,,,,,,
,,  175 Golf Course Special Revenue Fund  ,,,36.32,
,,,,,,
,  180 Community Development Special Revenue Fund  ,,,,,
,,,,,FTE,
0400 Housing and Neighborhood Preservation  ,,,,,,
40120 Certificate of Compliance Program,,,,,7.98,
40140 Rehabilitation and Construction,,,,,7.37,
40952 Director's Office,,,,,7.25,
"40958 Strategy, Policy and Resource Division",,,,,2.67,
,,,,,,
,0400 Housing and Neighborhood Preservation  ,,,,25.27,
,,,,,,
,  180 Community Development Special Revenue Fund  ,,,,,25.27
,,,,,,
,  182 Federal Housing Assistance Grant Fund  ,,,,,
,,,,,FTE,
0400 Housing and Neighborhood Preservation  ,,,,,,
40953 Federal HOME Grants,,,,,2.42,
,,,,,,
,  182 Federal Housing Assistance Grant Fund  ,,,,2.42,
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
,,  183 Grants Consolidated Fund  ,,,,
,,,,,FTE,
0062 Commonwealth's Attorney  ,,,,,,
06952 Commonwealth's Attorney - Grants,,,,,6.50,
0090 Police  ,,,,,,
09951 Police - Uniform Patrol Grants,,,,,1.00,
0190 Fire  ,,,,,,
19951 Fire - Grants,,,,,0.00,
19953 Fire Program Grants,,,,,1.00,
,,,,,,
,,,,,1.00,
0240 Human Services  ,,,,,,
24912 Hard to Serve Grant,,,,,2.00,
24921 Social Services - Revenue Max Grants,,,,,1.00,
24951 Community Corrections,,,,,14.00,
24952 Pre-Trial Grant,,,,,7.00,
,,,,,,
,,0240 Human Services  ,,,24.00,
0400 Housing and Neighborhood Preservation  ,,,,,,
40951 Housing Grants,,,,,0.38,
,,,,,,
,,  183 Grants Consolidated Fund  ,,,32.88,
,,,,,,
,,  241 Water and Sewer Fund  ,,,,
,,,,,FTE,
0200 Public Utilities  ,,,,,,
20010 Director's Office,,,,,3.00,
20011 Engineering,,,,,81.00,
20030 Operations Administration,,,,,21.00,
20031 Water Distribution,,,,,41.00,
20032 Water Pump Stations,,,,,25.00,
20034 Meter Operations,,,,,45.00,
20041 Sewer Collection,,,,,64.00,
20042 Sewer Pump Stations,,,,,59.00,
20050 Business Division,,,,,65.50,
,,,,,,
,,,0200 Public Utilities  ,,404.50,
,,,,,,
,,,  241 Water and Sewer Fund  ,,,404.50
,,,,,,
,,  253 Parking Enterprise Fund  ,,,,
,,,,,FTE,
0390 Convention and Visitor Bureau  ,,,,,,
39050 Parking Enterprise Fund,,,,,4.00,
,,,,,,
,,,  253 Parking Enterprise Fund  ,,,4.00
,,,,,,
,,  255 Storm Water Utility Enterprise Fund  ,,,,
,,,,,FTE,
0100 Public Works  ,,,,,,
10701 SWU - Project Management,,,,,11.00,
10702 SWU - Customer Service,,,,,2.00,
10703 SWU - Operations and Maintenance,,,,,75.00,
10704 SWU - Inspections and Environmental Spill Response,,,,,5.00,
10705 SWU - Residential Street Sweeping,,,,,1.00,
,,,,,,
,,,0100 Public Works  ,,94.00,
,,,,,,
,,  255 Storm Water Utility Enterprise Fund  ,,,94.00,
,,,,,,
,,  604 Print Shop Internal Service Fund  ,,,,
,,,,,FTE,
0210 Communications and Information Technology  ,,,,,,
21113 City/Schools Printing Services,,,,,14.00,
,,,,,,
,,  604 Print Shop Internal Service Fund  ,,,14.00,
,,,,,,
GovMax V5,,,,,,
,,,,,,
"FY 2010 Position Salary/Fringe Summary grouped by Fund, Department, Organization Code",,,,,,
City of Virginia Beach,,,,,,
,,,,,,
,,  606 City Garage Internal Service Fund  ,,,,
,,,,,FTE,
0100 Public Works  ,,,,,,
10320 Automotive Services,,,,,81.00,
,,,,,,
,,  606 City Garage Internal Service Fund  ,,,81.00,
,,,,,,
,  607 Risk Management Internal Service Fund  ,,,,,
,,,,,FTE,
0040 Finance  ,,,,,,
04036 Risk Management,,,,,7.00,
,,,,,,
,  607 Risk Management Internal Service Fund  ,,,,7.00,
,,,,,,
,  613 School Landscaping Internal Service Fund  ,,,,,
,,,,,FTE,
0110 Parks and Recreation  ,,,,,,
11049 Schools Landscaping,,,,,68.00,
,,,,,,
,  613 School Landscaping Internal Service Fund  ,,,,68.00,
,,,,,,
,  620 Telecommunications Internal Service Fund  ,,,,,
,,,,,FTE,
0210 Communications and Information Technology  ,,,,,,
21130 Telecommunications,,,,,10.00,
,,,,,,
,  620 Telecommunications Internal Service Fund  ,,,,10.00,
,,,,,,
,,,Report Grand Total,,"17,400.59",
,,,,,,
GovMax V5,,,,,,
