,,Org Code 04030,,,,,,,0,,"3,000",,"3,000",,"23,000","20,000",,"20,000","20,000",,"20,000"
,,,,,,,,,,,,,,,,,,,,,
04034 Payroll,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415015 Court Order Adminstration Fees,,,,,,,,0,"30,000",,,"30,000",,"26,300",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04034,,,,,,,0,,"30,000",,"30,000",,"26,300",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
04040 Purchasing,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416375 Procurement Card Rebate - City,,,,,,,,0,"3,663",,,"3,663",,"3,699",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04040,,,,,,,0,,"3,663",,"3,663",,"3,699",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0040 Finance,,0,"36,663",,,"36,663",,"52,999",,"20,000",,"20,000","20,000",,"20,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04001 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421002 Reimbursement - Commissioner of the Revenue,,,,,,,,0,"751,534",,,"751,534",,"780,202",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04001,,,,,,,0,,"751,534",,"751,534",,"780,202",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
04002 DMV Select,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422610 DMV Select Program,,,,,,,,0,"81,629",,,"81,629",,"125,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04002,,,,,,,0,,"81,629",,"81,629",,"125,000",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,0,"833,163",,,"833,163",,"905,202",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0043 City Treasurer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04020 City Treasurer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413032 Residential Parking Permits,,,,,,,,0,0,,,0,,"30,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,0,"90,748",,,"90,748",,"93,017",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416061 City Treasurer Charges,,,,,,,,0,"355,543",,,"355,543",,"359,631",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
421001 Reimbursement - Treasurer,,,,,,,,0,"840,995",,,"840,995",,"884,731",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04020,,,,,,,0,,"1,287,286",,"1,287,286",,"1,367,379",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0043 City Treasurer,,,0,"1,287,286",,,"1,287,286",,"1,367,379",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0050 Human Resources,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,1,,,,,12/6/2013   9:52:51AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2010,,,,,,,
Account,,,,,,,,FY 2008,FY 2009,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,FY 2013,,FY 2014
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0050 Human Resources,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05001 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416145 Beam Advertising,,,,,,,,0,"20,239",,,"20,239",,"20,867",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 05001,,,,,,,0,,"20,239",,"20,239",,"20,867",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0050 Human Resources,,,,0,,"20,239",,"20,239",,"20,867",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0061 Courts and Courts' Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06016 General District Court,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415018 Public Defender Fees,,,,,,,,0,"75,146",,,"75,146",,"75,146",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06016,,,,,,,0,,"75,146",,"75,146",,"75,146",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
06041 Clerk of the Circuit Court,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413047 Transfer Fees,,,,,,,,0,"19,338",,,"19,338",,"16,665",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416147 Court Ordered Reimbursement,,,,,,,,0,"3,688",,,"3,688",,"3,725",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
421004 Reimbursement - Clerk of the Circuit Court,,,,,,,,0,"1,833,046",,,"1,833,046",,"1,866,687",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06041,,,,,,,0,,"1,856,072",,"1,856,072",,"1,887,077",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,0061 Courts and Courts' Support,,,,,,0,"1,931,218",,,"1,931,218",,"1,962,223",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0062 Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06020 Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421006 Reimbursement - Commonwealth's Attorney,,,,,,,,0,"2,556,041",,,"2,556,041",,"2,695,676",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06020,,,,,,,0,,"2,556,041",,"2,556,041",,"2,695,676",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,0062 Commonwealth's Attorney,,,,,,0,"2,556,041",,,"2,556,041",,"2,695,676",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0070 Health,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
07011 Public Health,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416092 Refund of Surplus Health Department,,,,,,,,0,"10,100",,,"10,100",,"10,605",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421015 Reimbursement - Health Department - Auto Expenses,,,,,,,,0,"8,671",,,"8,671",,"8,671",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433031 SEVAMP Grant,,,,,,,,0,"31,572",,,"31,572",,"38,572",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 07011,,,,,,,0,,"50,343",,"50,343",,"57,848",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0070 Health,,0,"50,343",,,"50,343",,"57,848",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0090 Police,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09012 False Alarms,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415022 Police - False Alarm Fees,,,,,,,,0,"1,113,909",,,"1,113,909",,"230,484",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09012,,,,,,,0,,"1,113,909",,"1,113,909",,"230,484",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09017 Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413009 Taxi Driver Permits,,,,,,,,0,"1,930",,,"1,930",,"2,004",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413019 Precious Metal Dealer Permit,,,,,,,,0,"11,479",,,"11,479",,"11,593",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
414075 Bicycle Auctions/Unclaimed Property,,,,,,,,0,"11,000",,,"11,000",,"11,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415023 Sale of Police Reports,,,,,,,,0,"145,000",,,"145,000",,"145,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09017,,,,,,,0,,"169,409",,"169,409",,"169,597",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,2,,,,,12/6/2013   9:52:51AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2010,,,,,,,
Account,,,,,,,,FY 2008,FY 2009,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,FY 2013,,FY 2014
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0090 Police,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09021 Red Light Camera Program,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
417012 Violations - Red Light Cameras,,,,,,,,0,"1,593,361",,,"1,593,361",,"1,955,070",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09021,,,,,,,0,,"1,593,361",,"1,593,361",,"1,955,070",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09042 Commercial Extraditions,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422025 State Prisoner Transportation,,,,,,,,0,"646,000",,,"646,000",,"680,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09042,,,,,,,0,,"646,000",,"646,000",,"680,000",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09112 Animal Control,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413001 Dog and Cat Licenses,,,,,,,,0,"481,961",,,"481,961",,"449,961",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415027 Animal Disposal Fees,,,,,,,,0,"37,333",,,"37,333",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415028 Animal Adoption Fees,,,,,,,,0,"66,171",,,"66,171",,"59,352",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415029 Board and Impounding Fees,,,,,,,,0,"66,167",,,"66,167",,"112,619",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09112,,,,,,,0,,"651,632",,"651,632",,"621,932",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09303 Police Store,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414136 Sale of Police Memorabilia,,,,,,,,0,"19,458",,,"19,458",,"7,500",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09303,,,,,,,0,,"19,458",,"19,458",,"7,500",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0090 Police,,0,"4,193,769",,,"4,193,769",,"3,664,583",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10311 Bureau of Waste Disposal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415037 Sale - Methane Gas - Trashmore II,,,,,,,,0,"65,000",,,"65,000",,"65,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415038 Refuse Disposal Charges - Commercial,,,,,,,,0,"660,000",,,"660,000",,"660,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415039 Refuse Disposal Charges - SPSA,,,,,,,,0,"1,138,266",,,"1,138,266",,"1,660,993",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10311,,,,,,,0,,"1,863,266",,"1,863,266",,"2,385,993",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10312 Bureau of Waste Collection,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413070 Yard Debris Trailer,,,,,,,,0,"320,000",,,"320,000",,"200,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
414115 Sale of Trash Containers,,,,,,,,0,"180,000",,,"180,000",,"142,905",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10312,,,,,,,0,,"500,000",,"500,000",,"342,905",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10519 Street Light Installations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416707 DVP Street Lights Reimbursements,,,,,,,,0,"500,000",,,"500,000",,"510,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10519,,,,,,,0,,"500,000",,"500,000",,"510,000",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
10610 Support Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422044 Maintenance of Roads,,,,,,,,0,"31,994,091",,,"31,994,091",,"33,086,517",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10610,,,,,,,0,,"31,994,091",,"31,994,091",,"33,086,517",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0100 Public Works,,,0,"34,857,357",,,"34,857,357",,"36,325,415",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0110 Parks and Recreation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
11041 Landscape Administration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422050 Clean Community,,,,,,,,0,"55,000",,,"55,000",,"55,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11041,,,,,,,0,,"55,000",,"55,000",,"55,000",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
11043 Parks Maintenance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414070 Fees - Miscellaneous Equipment and Facilities,,,,,,,,0,"3,500",,,"3,500",,"3,500",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 11043,,,,,,,0,,"3,500",,"3,500",,"3,500",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,3,,,,,12/6/2013   9:52:51AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2010,,,,,,,
Account,,,,,,,,FY 2008,FY 2009,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,FY 2013,,FY 2014
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,0110 Parks and Recreation,,,,0,"58,500",,,"58,500",,"58,500",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12010 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414074 Photo Copying Machine - Libraries,,,,,,,,0,"55,904",,,"55,904",,"57,022",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,0,"294,344",,,"294,344",,"300,131",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12010,,,,,,,0,,"350,248",,"350,248",,"357,153",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12071 Automated Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422387 Universal Service Funds - Library,,,,,,,,0,"30,000",,,"30,000",,"89,370",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12071,,,,,,,0,,"30,000",,"30,000",,"89,370",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
12072 Collection Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414602 Lease - Central Library Coffee Shop,,,,,,,,0,"7,200",,,"7,200",,"7,344",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415705 Collection Agency Contract,,,,,,,,0,"3,000",,,"3,000",,"3,060",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422144 State Aid Library,,,,,,,,0,"262,455",,,"262,455",,"253,894",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12072,,,,,,,0,,"272,655",,"272,655",,"264,298",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0120 Library,,0,"652,903",,,"652,903",,"710,821",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0130 Planning and Community Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,4,,,,,12/6/2013   9:52:51AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2010,,,,,,,
Account,,,,,,,,FY 2008,FY 2009,,,FY 2009,,FY 2010,,FY 2011,,FY 2012,FY 2013,,FY 2014
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0130 Planning and Community Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
13010 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413002 Use Permits,,,,,,,,0,"39,661",,,"39,661",,"30,170",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413017 Abandoned Vehicle Franchise,,,,,,,,0,"25,015",,,"25,015",,"39,834",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413018 Excavation and Soil Removal Fees,,,,,,,,0,300,,,300,,300,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413020 Encroachment Application Fees,,,,,,,,0,"10,052",,,"10,052",,"9,549",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413022 Non-Conforming Use Permits,,,,,,,,0,790,,,790,,782,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413025 Sign Permits,,,,,,,,0,"60,291",,,"60,291",,"61,843",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413029 Peddlers Permit,,,,,,,,0,212,,,212,,178,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413035 Erosion and Sediment Control Permits,,,,,,,,0,"7,976",,,"7,976",,"7,053",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413037 Sub-Division Inspection - Highways,,,,,,,,0,"6,058",,,"6,058",,"63,051",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413038 Wetland Permits,,,,,,,,0,"42,307",,,"42,307",,"33,461",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413041 Coastal Primary Sand Dune Fee,,,,,,,,0,"1,979",,,"1,979",,"1,999",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413049 Sub-Division Approval Fees,,,,,,,,0,"59,860",,,"59,860",,"40,416",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413050 Zoning Change Fees,,,,,,,,0,"22,808",,,"22,808",,"12,572",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413051 Variance Fees,,,,,,,,0,"6,979",,,"6,979",,"3,915",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413055 Reconsideration of Conditions Fee,,,,,,,,0,"4,492",,,"4,492",,"4,537",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413056 Street Closures,,,,,,,,0,"11,534",,,"11,534",,"35,000",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413057 Board of Zoning Appeals - Variance,,,,,,,,0,"36,859",,,"36,859",,"45,900",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413061 Zoning Verification Letters,,,,,,,,0,"7,477",,,"7,477",,"7,033",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413064 City Fare Card Fee,,,,,,,,0,938,,,938,,946,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413066 Portable Storage Container Permit,,,,,,,,0,"23,566",,,"23,566",,"24,744",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414073 Photo Copying Machine,,,,,,,,0,581,,,581,,581,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415120 Sale of Publications,,,,,,,,0,78,,,78,,78,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415121 Sale of Maps - Planning Commission,,,,,,,,0,193,,,193,,193,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415124 Site Plan Review Fees,,,,,,,,0,"378,329",,,"378,329",,"250,233",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415126 Construction Plan Review Fee,,,,,,,,0,"34,334",,,"34,334",,"9,991",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415130 Chesapeake Bay Preservation Act Variance Fees,,,,,,,,0,"37,823",,,"37,823",,"25,402",,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 13010,,,,,,,0,,"820,492",,"820,492",,"709,761",0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
13050 Permits Administration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
