Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0030 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03010 City Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
417007 DUI Response Reimbursements,,,,,,,,212,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 03010,,,,,,,212,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,0030 City Attorney,,,212,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0040 Finance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04030 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413060 General District Court - ATM Permit Fee,,,,,,,,0,"1,200",,,"1,200",,"1,450",,"1,479",,"1,509","1,539",,"1,570"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413068 ATM Permit Fee - City Hall,,,,,,,,0,"1,200",,,"1,200",,"4,350",,"4,437",,"4,526","4,616",,"4,709"
,,,,,,,,,,,,,,,,,,,,,
413069 ATM Permit Fee - Visitors' Center,,,,,,,,0,600,,,600,,"1,450",,"1,479",,"1,509","1,539",,"1,570"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416375 Procurement Card Rebate - City,,,,,,,,"20,153","23,500",,,"23,500",,"43,500",,"44,805",,"46,149","47,534",,"48,960"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04030,,,,,,,"20,153",,"26,500",,"26,500",,"50,750","52,200",,"53,692","55,227",,"56,807"
,,,,,,,,,,,,,,,,,,,,,
04031 Local Vehicle Registration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416302 DMV Reimbursement - STOPS,,,,,,,,"554,113","614,000",,,"614,000",,"614,000",,"632,420",,"651,393","670,934",,"691,062"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04031,,,,,,,"554,113",,"614,000",,"614,000",,"614,000","632,420",,"651,393","670,934",,"691,062"
,,,,,,,,,,,,,,,,,,,,,
04033 Comptroller's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,0,"4,950",,,"4,950",,"3,150",,"3,245",,"3,342","3,442",,"3,545"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04033,,,,,,,0,,"4,950",,"4,950",,"3,150","3,245",,"3,342","3,442",,"3,545"
,,,,,,,,,,,,,,,,,,,,,
04034 Payroll,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415015 Court Order Adminstration Fees,,,,,,,,"26,300","26,300",,,"26,300",,"26,300",,"27,089",,"27,902","28,739",,"29,601"
,,,,,,,,,,,,,,,,,,,,,
418042 Copier Charges,,,,,,,,331,0,,,0,,350,,357,,364,371,,379
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04034,,,,,,,"26,631",,"26,300",,"26,300",,"26,650","27,446",,"28,266","29,110",,"29,980"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0040 Finance,,"600,897","671,750",,,"671,750",,"694,550",,"715,311",,"736,692","758,714",,"781,395"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04001 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421002 Commissioner of the Revenue Reimbursement,,,,,,,,"643,825","651,173",,,"651,173",,"651,532",,"661,305",,"671,225","681,293",,"691,512"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04001,,,,,,,"643,825",,"651,173",,"651,173",,"651,532","661,305",,"671,225","681,293",,"691,512"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,1,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04002 DMV Select,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422610 DMV Select Program,,,,,,,,"142,821","160,000",,,"160,000",,"161,000",,"163,415",,"165,866","168,354",,"170,880"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04002,,,,,,,"142,821",,"160,000",,"160,000",,"161,000","163,415",,"165,866","168,354",,"170,880"
,,,,,,,,,,,,,,,,,,,,,
0041 Commissioner of the Revenue,,,,,,,,"786,646","811,173",,,"811,173",,"812,532",,"824,720",,"837,091","849,647",,"862,392"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0042 City Real Estate Assessor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04011 Board of Equalization,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415125 Clearing Contract Administration,,,,,,,,-230,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04011,,,,,,,-230,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
04012 City Real Estate Assessor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416079 Farm Classification - Late Filing Fees,,,,,,,,120,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,836,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04012,,,,,,,956,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,0042 City Real Estate Assessor,,,,,,726,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0043 City Treasurer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04020 City Treasurer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413011 Administrative Fees,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
413032 Residential Parking Permits,,,,,,,,"42,781","36,430",,,"36,430",,"36,515",,"37,245",,"37,990","38,750",,"39,525"
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,"81,480","83,455",,,"83,455",,"81,142",,"83,576",,"86,084","88,666",,"91,326"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416061 City Treasurer Charges,,,,,,,,"1,360,402","1,200,000",,,"1,200,000",,"1,250,000",,"1,287,500",,"1,326,125","1,365,909",,"1,406,886"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,028",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416709 Administrative Fee - Advertising,,,,,,,,"9,423","4,451",,,"4,451",,"4,451",,"4,585",,"4,722","4,864",,"5,010"
,,,,,,,,,,,,,,,,,,,,,
416914 Restitution Setup Fee,,,,,,,,"15,114","10,200",,,"10,200",,"15,000",,"15,450",,"15,914","16,391",,"16,883"
,,,,,,,,,,,,,,,,,,,,,
416915 Restitution Late Fee,,,,,,,,"13,674","6,000",,,"6,000",,"16,000",,"16,480",,"16,974","17,484",,"18,008"
,,,,,,,,,,,,,,,,,,,,,
416916 Restitution Processing Fee,,,,,,,,"5,297","2,450",,,"2,450",,"5,000",,"5,150",,"5,305","5,464",,"5,628"
,,,,,,,,,,,,,,,,,,,,,
416919 Housing Collection Fee,,,,,,,,0,0,,,"190,000",,"25,000",,"25,750",,"26,523","27,318",,"28,138"
,,,,,,,,,,,,,,,,,,,,,
421001 Treasurer Reimbursement,,,,,,,,"597,476","626,223",,,"626,223",,"552,767",,"561,059",,"569,474","578,016",,"586,687"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 04020,,,,,,,"2,126,675",,"1,969,209",,"2,159,209",,"1,985,875","2,036,795",,"2,089,110","2,142,861",,"2,198,089"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0043 City Treasurer,,,"2,126,675","1,969,209",,,"2,159,209",,"1,985,875",,"2,036,795",,"2,089,110","2,142,861",,"2,198,089"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0050 Human Resources,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05001 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414069 Vending Machine Concessions,,,,,,,,"1,227",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416145 Beam Advertising,,,,,,,,"23,597","20,867",,,"20,867",,"20,867",,"21,493",,"22,138","22,802",,"23,486"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 05001,,,,,,,"24,824",,"20,867",,"20,867",,"20,867","21,493",,"22,138","22,802",,"23,486"
,,,,,,,,,,,,,,,,,,,,,
05005 Learning and Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416007 PSDT Contributions,,,,,,,,0,0,,,0,,750,,750,,750,750,,750
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 05005,,,,,,,0,,0,,0,,750,750,,750,750,,750
,,,,,,,,,,,,,,,,,,,,,
,,,,,0050 Human Resources,,,,"24,824",,"20,867",,"20,867",,"21,617","22,243",,"22,888","23,552",,"24,236"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0061 Courts and Courts' Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,2,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0061 Courts and Courts' Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06016 General District Court,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413060 General District Court - ATM Permit Fee,,,,,,,,"1,450",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415018 Public Defender Fees,,,,,,,,"91,106","75,146",,,"75,146",,"75,146",,"77,400",,"79,722","82,114",,"84,577"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06016,,,,,,,"92,556",,"75,146",,"75,146",,"75,146","77,400",,"79,722","82,114",,"84,577"
,,,,,,,,,,,,,,,,,,,,,
06041 Clerk of the Circuit Court,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413047 Transfer Fees,,,,,,,,"16,430","16,665",,,"16,665",,"16,665",,"16,998",,"17,338","17,685",,"18,039"
,,,,,,,,,,,,,,,,,,,,,
415021 Commonwealth's Attorney Fees,,,,,,,,"22,490","20,523",,,"20,523",,"20,523",,"21,139",,"21,773","22,426",,"23,099"
,,,,,,,,,,,,,,,,,,,,,
416147 Court Ordered Reimbursement,,,,,,,,"3,725","3,725",,,"3,725",,"3,725",,"3,837",,"3,952","4,070",,"4,193"
,,,,,,,,,,,,,,,,,,,,,
421004 Clerk of the Circuit Court Reimbursement,,,,,,,,"2,121,779","1,870,824",,,"1,870,824",,"1,870,824",,"1,898,886",,"1,927,370","1,956,280",,"1,985,624"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06041,,,,,,,"2,164,424",,"1,911,737",,"1,911,737",,"1,911,737","1,940,860",,"1,970,433","2,000,462",,"2,030,954"
,,,,,,,,,,,,,,,,,,,,,
,,0061 Courts and Courts' Support,,,,,,"2,256,980","1,986,883",,,"1,986,883",,"1,986,883",,"2,018,260",,"2,050,155","2,082,576",,"2,115,532"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0062 Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06020 Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421006 Commonwealth's Attorney Reimbursement,,,,,,,,"2,361,400","2,380,078",,,"2,380,078",,"2,380,078",,"2,415,779",,"2,452,016","2,488,796",,"2,526,128"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06020,,,,,,,"2,361,400",,"2,380,078",,"2,380,078",,"2,380,078","2,415,779",,"2,452,016","2,488,796",,"2,526,128"
,,,,,,,,,,,,,,,,,,,,,
,,0062 Commonwealth's Attorney,,,,,,"2,361,400","2,380,078",,,"2,380,078",,"2,380,078",,"2,415,779",,"2,452,016","2,488,796",,"2,526,128"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0070 Health,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
07011 Public Health,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415041 Obstetrical Services,,,,,,,,648,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,798,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416092 Refund of Surplus Health Department,,,,,,,,"44,973","53,572",,,"53,572",,"53,572",,"55,179",,"56,835","58,540",,"60,296"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
421015 Health Department - Auto Expenses Reimbursement,,,,,,,,"6,603","8,671",,,"8,671",,"8,671",,"8,801",,"8,933","9,067",,"9,203"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433031 SEVAMP Grant,,,,,,,,"24,465","35,000",,,"35,000",,"35,000",,"35,000",,"35,000","35,000",,"35,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 07011,,,,,,,"77,487",,"97,243",,"97,243",,"97,243","98,980",,"100,768","102,607",,"104,499"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0070 Health,,"77,487","97,243",,,"97,243",,"97,243",,"98,980",,"100,768","102,607",,"104,499"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0090 Police,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09010 Director's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415325 FOIA Requests,,,,,,,,73,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"2,982",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09010,,,,,,,"3,055",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09012 False Alarms,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415022 Police - False Alarm Fees,,,,,,,,"489,515","435,000",,,"435,000",,"369,750",,"380,843",,"392,268","404,036",,"416,157"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09012,,,,,,,"489,515",,"435,000",,"435,000",,"369,750","380,843",,"392,268","404,036",,"416,157"
,,,,,,,,,,,,,,,,,,,,,
09015 Personnel and Training,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,35,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"4,996",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09015,,,,,,,"5,031",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,3,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0090 Police,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09017 Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413009 Taxi Driver Permits,,,,,,,,"21,160","3,000",,,"3,000",,"17,800",,"18,156",,"18,519","18,890",,"19,267"
,,,,,,,,,,,,,,,,,,,,,
413017 Abandoned Vehicle Franchise,,,,,,,,0,"24,400",,,"24,400",,"24,400",,"24,888",,"25,386","25,893",,"26,411"
,,,,,,,,,,,,,,,,,,,,,
413019 Precious Metal Dealer Permit,,,,,,,,"43,600","37,200",,,"37,200",,"43,500",,"44,370",,"45,257","46,163",,"47,086"
,,,,,,,,,,,,,,,,,,,,,
413100 Taxi Cab Inspection Fee,,,,,,,,"11,550","9,000",,,"9,000",,"10,500",,"10,710",,"10,924","11,143",,"11,366"
,,,,,,,,,,,,,,,,,,,,,
414075 Bicycle Auctions/Unclaimed Property,,,,,,,,"11,611","10,000",,,"10,000",,"9,600",,"9,696",,"9,793","9,891",,"9,990"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414307 Interest on Property and Evidence,,,,,,,,"1,531",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415023 Sale of Police Reports,,,,,,,,"213,884","204,900",,,"204,900",,"204,500",,"210,635",,"216,954","223,463",,"230,167"
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,"13,500",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,710",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09017,,,,,,,"318,546",,"288,500",,"288,500",,"310,300","318,455",,"326,833","335,442",,"344,286"
,,,,,,,,,,,,,,,,,,,,,
09018 K-9 Unit,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,180",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09018,,,,,,,"1,180",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09020 Uniform Patrol,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,"108,220",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"66,044",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
417005 Overweight Vehicle Fees,,,,,,,,0,0,,,0,,"124,000",,"124,000",,"124,000","124,000",,"124,000"
,,,,,,,,,,,,,,,,,,,,,
417007 DUI Response Reimbursements,,,,,,,,"33,899",0,,,0,,"31,000",,"31,620",,"32,252","32,897",,"33,555"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09020,,,,,,,"208,163",,0,,0,,"155,000","155,620",,"156,252","156,897",,"157,555"
,,,,,,,,,,,,,,,,,,,,,
09021 Red Light Camera Program,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
417012 Violations - Red Light Cameras,,,,,,,,"2,590,183","2,280,000",,,"2,280,000",,"2,279,360",,"2,324,947",,"2,371,446","2,418,875",,"2,467,253"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09021,,,,,,,"2,590,183",,"2,280,000",,"2,280,000",,"2,279,360","2,324,947",,"2,371,446","2,418,875",,"2,467,253"
,,,,,,,,,,,,,,,,,,,,,
09025 Marine Patrol,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"6,813",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09025,,,,,,,"6,813",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09028 Investigative Division,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"5,816",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09028,,,,,,,"5,816",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09029 Special Investigative Unit,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"7,390",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09029,,,,,,,"7,390",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
09042 Commercial Extraditions,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422025 State Prisoner Transportation,,,,,,,,"292,530","657,900",,,"657,900",,"371,950",,"377,529",,"383,192","388,940",,"394,774"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09042,,,,,,,"292,530",,"657,900",,"657,900",,"371,950","377,529",,"383,192","388,940",,"394,774"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,4,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0090 Police,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09112 Animal Control,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413001 Dog and Cat Licenses,,,,,,,,"204,049","190,000",,,"190,000",,"198,000",,"201,960",,"205,999","210,119",,"214,322"
,,,,,,,,,,,,,,,,,,,,,
415027 Animal Disposal Fees,,,,,,,,"2,414",0,,,0,,"2,000",,"2,000",,"2,000","2,000",,"2,000"
,,,,,,,,,,,,,,,,,,,,,
