"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2012,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2010,FY 2011,,FY 2011,FY 2012,,FY 2013,FY 2014,,FY 2015,,FY 2016,,
604401,,Print Shop Charges,,,,,,794,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"1,160","1,160",,"1,160","1,160",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"2,514","18,058",,"18,058","9,029",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,719,"2,648",,"2,648","1,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"86,671","85,728",,"85,728","85,728",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,"5,963","4,901",,"4,901","4,901",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605900,,Community Organization Grant,,,,,,9,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605950,,Mayor's Committee for Aging,,,,,,203,10,,10,10,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605951,,Mayor's Committee / Persons w/ Disabilities,,,,,,141,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,808,200,,200,200,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,21,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,0,556,,556,556,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,223,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"6,837",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council ,,,,,,,,"512,865","553,348",,"553,348","542,671",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,0010 Municipal Council,,,,,,"512,865",,"553,348","553,348",,"542,671",0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0011 City Clerk    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,0,"104,076",,"104,076","104,076",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"347,362",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601150,,Technical Salaries,,,,,,0,"239,666",,"239,666","239,666",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"21,333","21,932",,"21,932","21,927",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"5,160","5,128",,"5,128","5,128",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"59,121","60,431",,"60,431","60,431",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"34,425","32,400",,"32,400","32,400",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"2,160","3,507",,963,962,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,180,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"10,000","10,000",,"10,000","10,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"5,173","3,774",,"3,774","3,774",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,"31,791","17,108",,"17,108","22,729",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"5,800","6,120",,"6,120","6,120",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"21,979","12,928",,"12,928","9,856",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,932,932,,932,932,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,"1,528","1,500",,"1,500",856,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"3,701","3,530",,"3,530","3,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"2,354","2,000",,"2,000","1,350",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,0,450,,450,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"1,152","1,553",,"1,553",715,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
605807,,Sister Cities Program,,,,,,"18,431","13,260",,"13,260","13,260",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,273,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605999,,Cash Deposits - Overage/Shortage,,,,,,10,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"3,633","1,300",,"1,300","1,300",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:37:58PM - ET,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2012,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2010,FY 2011,,FY 2011,FY 2012,,FY 2013,FY 2014,,FY 2015,,FY 2016,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0011 City Clerk    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"9,275",729,,729,729,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,145,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,239,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,"586,157","542,324",,"539,780","539,211",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,0011 City Clerk,,,"586,157","542,324",,"539,780","539,211",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02010 City Manager ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,0,"795,337",,"795,337","802,606",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"1,234,550",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,0,"79,576",,"79,576","79,576",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,0,"288,842",,"288,842","281,636",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,"1,267","3,500",,"3,500","17,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"56,638","57,636",,"57,636","57,685",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"18,293","17,404",,"17,404","17,404",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"201,560","204,588",,"204,588","203,456",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"62,100","64,800",,"64,800","64,800",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"7,325","11,869",,"3,258","3,240",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,270,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,480,480,,480,480,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"36,000","36,000",,"36,000","36,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,0,379,,379,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"50,474","8,600",,"8,600",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"13,812","13,570",,"13,570","12,670",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"12,804","11,580",,"11,580","12,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"3,970","3,970",,"3,970","3,970",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,"1,028","1,460",,"1,460","1,460",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"5,369","8,580",,"8,580","5,840",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"5,745","14,500",,"14,500","14,500",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,"13,119","14,600",,"14,600","15,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"6,145","3,682",,"3,682","3,914",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"15,212","23,500",,"23,500","28,454",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"20,316",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,587,200,,200,200,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,"4,056","2,000",,"2,000","2,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,137,"1,150",,"1,150",370,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,0,"2,000",,"2,000","2,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"9,027","5,260",,"5,260","5,260",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
608010,,Lease/Rent of Buildings,,,,,,"9,747","8,081",,"8,081","9,500",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02010 City Manager ,,,,,,,,"1,790,031","1,683,144",,"1,674,533","1,681,021",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,0,"235,544",,"235,544","235,544",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"233,787",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,128,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601311,,Part Time Salaries,,,,,,"5,917",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"14,457","14,603",,"14,603","14,641",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"3,381","3,415",,"3,415","3,424",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"38,818","41,409",,"41,409","41,409",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"10,800","16,200",,"16,200","16,200",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"1,398","2,403",,660,659,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,108,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,600,0,,0,600,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:37:58PM - ET,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2012,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2010,FY 2011,,FY 2011,FY 2012,,FY 2013,FY 2014,,FY 2015,,FY 2016,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"2,214","3,076",,"3,076","1,200",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,746,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,631,631,,631,631,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,2,50,,50,20,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"6,832","2,000",,"2,000","3,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,"3,849",300,,300,300,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605503,,Organizational Learning and Development,,,,,,"2,942","2,000",,"2,000","3,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,200,300,,300,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"5,600","5,000",,"5,000","5,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,931,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,0,"1,000",,"1,000","1,000",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,493,200,,200,100,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,181,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,"334,015","328,131",,"326,388","326,728",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02021 Office of Volunteer Resources ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"30,815",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,0,"30,815",,"30,815","30,815",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,289,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601311,,Part Time Salaries,,,,,,"8,550",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,0,"11,110",,"11,110","11,110",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,"2,726",832,,832,832,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"2,445","2,600",,"2,600","2,600",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,572,608,,608,608,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"5,078","5,417",,"5,417","5,417",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"5,400","5,400",,"5,400","5,400",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,183,314,,86,86,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603119,,Police Record Checks,,,,,,37,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,0,884,,884,884,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603302,,Publicity and Public Relations,,,,,,"4,090","5,979",,"5,979","5,979",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603321,,Volunteer Recognition Reimbursement,,,,,,"22,145","16,257",,"16,257","13,257",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,0,936,,936,936,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"1,921","2,424",,"2,424","2,424",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"4,574","4,621",,"4,621","4,621",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,155,155,,155,155,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,328,"1,144",,"1,144","1,144",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,0,208,,208,208,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"2,300","2,972",,"2,972","2,972",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,335,"1,591",,"1,591","1,591",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,100,364,,364,364,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"1,173","1,610",,"1,610","1,610",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606027,,Volunteer Recognition Items,,,,,,"4,455","10,392",,"10,392","10,392",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,80,572,,572,572,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,"9,607","12,644",,"12,644","12,644",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,0,156,,156,156,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606421,,Agricultural Supplies,,,,,,0,"1,040",,"1,040","1,040",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606441,,Building Maintenance Supplies,,,,,,"1,660",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02021 Office of Volunteer Resources ,,,,,,,,"109,018","121,045",,"120,817","117,817",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02030 Media and Communications Group ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,0,"83,150",,"83,150","83,150",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"481,508",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,0,"252,854",,"143,581","143,581",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,0,"27,103",,"27,103","27,103",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:37:58PM - ET,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2012,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2010,FY 2011,,FY 2011,FY 2012,,FY 2013,FY 2014,,FY 2015,,FY 2016,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02030 Media and Communications Group ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601330,,Part-Time Professional Salaries,,,,,,0,"30,895",,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"27,732","24,465",,"15,752","15,752",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"6,486","5,722",,"3,684","3,684",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"79,560","63,834",,"44,624","44,624",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"43,200","32,400",,"21,600","21,600",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"2,866","3,703",,-98,712,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,324,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,"1,091",600,,240,240,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,350,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603302,,Publicity and Public Relations,,,,,,694,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"9,199","2,500",,"2,500",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"3,660","5,200",,"3,300","2,412",,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"4,186","1,500",,930,"1,250",,0,0,,0,,0,,
