"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
603407,,Other Contractual Services,,,,,,"38,384","29,131",,"29,131","29,131",,"29,131",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,26,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"1,137","1,160",,"1,160","1,160",,"1,160",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"10,786","18,058",,"18,058","18,058",,"18,058",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,"5,662","3,115",,"3,115","2,648",,"2,648",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"105,418","115,393",,"115,393","85,728",,"85,728",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605807,,Sister Cities Program,,,,,,"1,125",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,478,0,,0,"4,901",,"4,901",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605950,,Contribution - Mayor's Committee for Aging,,,,,,"6,139","7,721",,"7,721",10,,10,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605951,,Cont - Mayor's Committee / Persons w/ Disabilities,,,,,,224,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,835,627,,627,200,,200,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"1,198",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,524,556,,556,556,,556,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"6,845","4,886",,"4,886",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606423,,Building Maintenance Supplies,,,,,,75,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606435,,Other Operating Supplies,,,,,,252,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council ,,,,,,,,"595,247","587,139",,"587,139","553,348",,"553,348",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,0010 Municipal Council,,,,,,"595,247",,"587,139","587,139",,"553,348","553,348",,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0011 City Clerk    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,"53,239","101,795",,"101,795","104,076",,"104,076",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"182,495",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601150,,Technical Salaries,,,,,,"139,840","273,311",,"273,311","239,666",,"239,666",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"11,302",,"11,302",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"22,672","23,423",,"23,423","21,932",,"21,932",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"5,530","5,585",,"5,585","5,128",,"5,128",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"63,043","61,818",,"61,818","60,431",,"60,431",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"37,800","37,800",,"37,800","32,400",,"32,400",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"3,137","3,338",,"3,338","3,507",,"3,507",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,162,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"10,000","10,000",,"10,000","10,000",,"10,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"4,354","4,440",,"4,440","3,774",,"3,774",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,"28,783","32,183",,"32,183","17,108",,"17,108",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603302,,Publicity and Public Relations,,,,,,602,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"24,107",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"5,916","6,120",,"6,120","6,120",,"6,120",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"24,077","27,540",,"27,540","12,928",,"12,928",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"1,029",932,,932,932,,932,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,"1,306","2,142",,"2,142","1,500",,"1,500",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"2,788","3,530",,"3,530","3,530",,"3,530",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"4,340","2,994",,"2,994","2,000",,"2,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,111,530,,530,450,,450,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0011 City Clerk    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,770,"1,827",,"1,827","1,553",,"1,553",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605807,,Sister Cities Program,,,,,,"6,385","13,260",,"13,260","13,260",,"13,260",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,915,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"3,537","1,530",,"1,530","1,300",,"1,300",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"4,134",729,,729,729,,729,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,"3,420",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,137,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,"634,629","626,129",,"626,129","542,324",,"542,324",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0011 City Clerk,,,"634,629","626,129",,"626,129","542,324",,"542,324",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
02010 City Manager ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,"430,692","790,631",,"790,631","795,337",,"795,337",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"604,222",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,"39,788","77,635",,"77,635","79,576",,"79,576",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,"162,992","315,917",,"315,917","288,842",,"288,842",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,361,0,,0,"3,500",,"3,500",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"46,517",,"46,517",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"57,606","56,795",,"56,795","57,636",,"57,636",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"18,280","17,692",,"17,692","17,404",,"17,404",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"197,532","192,530",,"192,530","204,588",,"204,588",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"63,667","70,200",,"70,200","64,800",,"64,800",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"9,829","10,399",,"10,399","11,869",,"11,869",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,203,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,480,0,,0,480,,480,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602960,,Deferred Compensation,,,,,,0,"7,803",,"7,803",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"36,000","36,000",,"36,000","36,000",,"36,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603103,,DO NOT USE - Other Professional Services,,,,,,"4,792",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,568,379,,379,379,,379,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,567,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"31,904","30,642",,"30,642","8,600",,"8,600",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603420,,Mutual Aid,,,,,,273,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"12,072","14,219",,"14,219","13,570",,"13,570",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"14,948","25,051",,"25,051","11,580",,"11,580",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"3,892","3,970",,"3,970","3,970",,"3,970",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,"1,330","2,040",,"2,040","1,460",,"1,460",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"5,551","9,874",,"9,874","8,580",,"8,580",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"4,521","22,491",,"22,491","14,500",,"14,500",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,"10,507","15,912",,"15,912","14,600",,"14,600",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605503,,Organizational Learning and Development,,,,,,275,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605508,,Travel - Other,,,,,,59,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"5,743","8,364",,"8,364","3,682",,"3,682",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"14,113","13,055",,"13,055","23,500",,"23,500",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"26,156",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,0,416,,416,200,,200,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,951,"6,202",,"6,202","2,000",,"2,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,148,"2,346",,"2,346","1,150",,"1,150",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,0,"7,080",,"7,080","2,000",,"2,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"15,145","20,971",,"20,971","5,260",,"5,260",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
608010,,Lease/Rent of Buildings,,,,,,"9,980","9,078",,"9,078","8,081",,"8,081",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
02010 City Manager ,,,,,,,,"1,785,147","1,814,209",,"1,814,209","1,683,144",,"1,683,144",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,"116,445","229,800",,"229,800","235,544",,"235,544",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"118,469",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,64,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601311,,Part Time Salaries,,,,,,"7,636",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,"8,016","18,147",,"18,147",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"7,024",,"7,024",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601730,,Part-Time Salary and Fringe Benefit Increases,,,,,,0,488,,488,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"15,063","15,373",,"15,373","14,603",,"14,603",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"3,523","3,596",,"3,596","3,415",,"3,415",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"38,467","37,871",,"37,871","41,409",,"41,409",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"10,800","16,200",,"16,200","16,200",,"16,200",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"1,914","2,045",,"2,045","2,403",,"2,403",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,54,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,15,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"2,229","3,076",,"3,076","3,076",,"3,076",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,36,"2,091",,"2,091",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,619,631,,631,631,,631,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,2,255,,255,50,,50,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,127,"1,040",,"1,040",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"3,028","9,363",,"9,363","2,000",,"2,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,0,"2,040",,"2,040",300,,300,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605503,,Organizational Learning and Development,,,,,,"2,390","6,242",,"6,242","2,000",,"2,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,174,765,,765,300,,300,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"5,757","7,262",,"7,262","5,000",,"5,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,0,"2,081",,"2,081","1,000",,"1,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,386,884,,884,200,,200,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"1,008","1,038",,"1,038",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,"336,222","367,312",,"367,312","328,131",,"328,131",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
02021 Office of Volunteer Resources ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"33,275",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,"34,720","30,063",,"30,063","30,815",,"30,815",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601230,,Professional Overtime,,,,,,464,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601240,,Supervisory Overtime,,,,,,152,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601260,,Protective Service Overtime,,,,,,496,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,0,"12,034",,"12,034","11,110",,"11,110",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,"14,407",832,,832,832,,832,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"1,985",,"1,985",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"4,387","2,610",,"2,610","2,600",,"2,600",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"1,026",610,,610,608,,608,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"10,909","4,954",,"4,954","5,417",,"5,417",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"9,900","5,400",,"5,400","5,400",,"5,400",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,543,268,,268,314,,314,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,240,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"4,951",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,0,884,,884,884,,884,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603302,,Publicity and Public Relations,,,,,,783,"5,979",,"5,979","5,979",,"5,979",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603321,,Volunteer Recognition Reimbursement,,,,,,"22,420","21,257",,"21,257","16,257",,"16,257",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,0,936,,936,936,,936,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"1,887","2,424",,"2,424","2,424",,"2,424",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,,,
