"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,FY 2013,FY 2014,,FY 2015,FY 2016,,FY 2017,,FY 2018,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,"2,904",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"5,556","29,131",,"29,131","23,087",,"23,152","23,218",,"23,284",,"23,350",,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,980,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"1,160","2,093",,"2,093","5,369",,"5,369","5,369",,"5,369",,"5,369",,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"4,641","9,029",,"9,029","5,000",,"5,000","5,000",,"5,000",,"5,000",,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,"1,365","1,000",,"1,000","1,000",,"1,000","1,000",,"1,000",,"1,000",,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"86,712","85,728",,"85,728","85,728",,"85,728","85,728",,"85,728",,"85,728",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
605899,,Miscellaneous,,,,,,"7,154","4,901",,"4,901","4,901",,"4,901","4,901",,"4,901",,"4,901",,
,,,,,,,,,,,,,,,,,,,,,
605950,,Mayor's Committee for Aging,,,,,,"3,225",10,,10,10,,10,10,,10,,10,,
,,,,,,,,,,,,,,,,,,,,,
605951,,Mayor's Committee / Persons w/ Disabilities,,,,,,48,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"1,752",200,,200,200,,200,200,,200,,200,,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,0,556,,556,556,,556,556,,556,,556,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,571,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,352,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
01010 Municipal Council ,,,,,,,,"518,042","545,118",,"545,118","533,110",,"533,175","533,241",,"533,307",,"533,373",,
,,,,,,,,,,,,,,,,,,,,,
,,,0010 Municipal Council,,,,,,"518,042",,"545,118","545,118",,"533,110","533,175",,"533,241",,"533,307",,"533,373"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0011 City Clerk    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,0,"106,678",,"106,678","108,822",,"108,822","108,822",,"108,822",,"108,822",,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"361,383",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601150,,Technical Salaries,,,,,,0,"254,705",,"254,705","241,703",,"241,703","241,703",,"241,703",,"241,703",,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"22,266","22,735",,"22,735","21,929",,"22,053","22,177",,"22,301",,"22,352",,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"5,381","5,385",,"5,385","5,228",,"5,228","5,228",,"5,228",,"5,228",,
,,,,,,,,,,,,,,,,,,,,,
602201,,VRS Plan 1 Retirement,,,,,,"63,532","74,733",,"74,733","65,478",,"68,983","65,478",,"68,983",,"68,983",,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"32,400","36,942",,"36,942","46,725",,"46,725","46,725",,"46,725",,"46,725",,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"1,012","4,300",,"4,300","4,172",,"4,172","4,172",,"4,172",,"4,172",,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,119,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"10,000","10,000",,"10,000","10,000",,"10,000","10,000",,"10,000",,"10,000",,
,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"4,013","3,774",,"3,774","3,774",,"3,774","3,774",,"3,774",,"3,774",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,"36,838","22,729",,"22,729","22,729",,"22,729","22,729",,"22,729",,"22,729",,
,,,,,,,,,,,,,,,,,,,,,
603401,,Printing And Binding (Outside),,,,,,0,0,,0,"8,913",,"8,913","8,913",,"8,913",,"8,913",,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"8,310","6,120",,"6,120","6,120",,"6,120","6,120",,"6,120",,"6,120",,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"16,832","9,856",,"7,550",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,932,"1,427",,"1,427","2,314",,"2,314","2,314",,"2,314",,"2,314",,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,728,856,,856,856,,856,856,,856,,856,,
,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"1,007","3,000",,"3,000","1,000",,"1,000","1,000",,"1,000",,"1,000",,
,,,,,,,,,,,,,,,,,,,,,
605401,,Lease/Rent of Equipment,,,,,,0,0,,0,943,,943,943,,943,,943,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"3,646","1,350",,"1,350","1,350",,"1,350","1,350",,"1,350",,"1,350",,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,447,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,925,715,,715,715,,715,715,,715,,715,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
605807,,Sister Cities Program,,,,,,"-29,095","9,415",,"9,415","9,415",,"9,415","9,415",,"9,415",,"9,415",,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"3,216","1,300",,"1,300","1,300",,"1,300","1,300",,"1,300",,"1,300",,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   3:52:52PM - ET,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,FY 2013,FY 2014,,FY 2015,FY 2016,,FY 2017,,FY 2018,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0011 City Clerk    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"14,807",729,,729,729,,729,729,,729,,729,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,161,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,"1,850",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
01011 City Clerk ,,,,,,,,"560,710","576,749",,"574,443","564,215",,"567,844","564,463",,"568,092",,"568,143",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,0011 City Clerk,,,"560,710","576,749",,"574,443","564,215",,"567,844","564,463",,"568,092",,"568,143",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02010 City Manager ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601100,,Executive Salaries,,,,,,0,"851,249",,"851,249","868,112",,"868,112","868,112",,"868,112",,"868,112",,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"1,222,621",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,0,"81,565",,"81,565","83,205",,"83,205","83,205",,"83,205",,"83,205",,
,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,0,"288,676",,"288,676","286,519",,"286,519","286,519",,"286,519",,"286,519",,
,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,"16,451","17,000",,"17,000","25,000",,"25,000","25,000",,"25,000",,"25,000",,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"56,400","57,698",,"57,698","57,666",,"58,286","58,906",,"59,516",,"60,012",,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"18,179","18,239",,"18,239","18,476",,"18,476","18,476",,"18,476",,"18,476",,
,,,,,,,,,,,,,,,,,,,,,
602201,,VRS Plan 1 Retirement,,,,,,"212,514","247,017",,"247,017","226,124",,"238,232","226,124",,"238,232",,"238,232",,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"64,800","73,884",,"73,884","165,003",,"165,003","165,003",,"165,003",,"165,003",,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"3,385","14,215",,"14,215","14,405",,"14,405","14,405",,"14,405",,"14,405",,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,339,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602403,,Employee Service Awards,,,,,,100,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,360,360,,360,360,,360,360,,360,,360,,
,,,,,,,,,,,,,,,,,,,,,
602970,,Car Allowance,,,,,,"35,500","36,000",,"36,000","36,000",,"36,000","36,000",,"36,000",,"36,000",,
,,,,,,,,,,,,,,,,,,,,,
603102,,Legal Services,,,,,,10,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,103,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603401,,Printing And Binding (Outside),,,,,,0,0,,0,"9,480",,"9,480","9,480",,"9,480",,"9,480",,
,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"2,554",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"11,365","12,125",,"12,125","12,125",,"12,125","12,125",,"12,125",,"12,125",,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"8,088","12,000",,"9,324",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"3,970","3,678",,"3,678","4,953",,"4,953","4,953",,"4,953",,"4,953",,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,654,"1,260",,"1,260","1,260",,"1,260","1,260",,"1,260",,"1,260",,
,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"4,639","6,740",,"6,740","6,380",,"6,380","6,380",,"6,380",,"6,380",,
,,,,,,,,,,,,,,,,,,,,,
605401,,Lease/Rent of Equipment,,,,,,0,0,,0,"1,920",,"1,920","1,920",,"1,920",,"1,920",,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"2,930","18,100",,"18,100","18,100",,"18,100","18,100",,"18,100",,"18,100",,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,"14,264","15,000",,"15,000","15,000",,"15,000","15,000",,"15,000",,"15,000",,
,,,,,,,,,,,,,,,,,,,,,
605508,,Travel - Other,,,,,,508,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"3,848","4,149",,"4,149","4,149",,"4,149","4,149",,"4,149",,"4,149",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"8,356","27,400",,"27,400","29,200",,"29,200","29,200",,"29,200",,"29,200",,
,,,,,,,,,,,,,,,,,,,,,
606002,,Food,,,,,,366,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"11,115",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,700,200,,200,500,,500,500,,500,,500,,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,"1,396","2,000",,"2,000","2,000",,"2,000","2,000",,"2,000",,"2,000",,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,217,370,,370,370,,370,370,,370,,370,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,0,"1,500",,"1,500","2,286",,"2,286","2,286",,"2,286",,"2,286",,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,"5,504","7,500",,"7,500","7,200",,"7,200","7,200",,"7,200",,"7,200",,
,,,,,,,,,,,,,,,,,,,,,
608010,,Lease/Rent of Buildings,,,,,,"3,714","9,700",,"9,700","9,700",,"9,700","9,700",,"9,700",,"9,700",,
,,,,,,,,,,,,,,,,,,,,,
02010 City Manager ,,,,,,,,"1,714,950","1,807,625",,"1,804,949","1,905,493",,"1,918,221","1,906,733",,"1,919,451",,"1,919,947",,
,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,0,"171,388",,"171,388","151,523",,"151,523","151,523",,"151,523",,"151,523",,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"206,880",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,"10,318","57,000",,"57,000","75,000",,"75,000","75,000",,"75,000",,"75,000",,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"12,433","10,663",,"10,663","9,417",,"9,417","9,417",,"9,417",,"9,417",,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"2,908","2,494",,"2,494","2,203",,"2,203","2,203",,"2,203",,"2,203",,
,,,,,,,,,,,,,,,,,,,,,
602201,,VRS Plan 1 Retirement,,,,,,"36,287","35,444",,"35,444","16,329",,"17,204","16,329",,"17,204",,"17,204",,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   3:52:52PM - ET,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,FY 2013,FY 2014,,FY 2015,FY 2016,,FY 2017,,FY 2018,,
,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 0020 City Manager    ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
602206,,VRS Plan 2 Retirement,,,,,,0,0,,0,"10,052",,"11,334","11,334",,"12,616",,"12,616",,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"16,200","12,314",,"12,314","20,198",,"20,198","20,198",,"20,198",,"20,198",,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,578,"2,040",,"2,040","1,803",,"1,803","1,803",,"1,803",,"1,803",,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,97,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,720,960,,960,360,,360,360,,360,,360,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,137,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"1,144","1,200",,"1,200","1,200",,"1,200","1,200",,"1,200",,"1,200",,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,631,799,,799,"1,076",,"1,076","1,076",,"1,076",,"1,076",,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"1,991","3,000",,"3,000","2,000",,"2,000","2,000",,"2,000",,"2,000",,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,609,300,,300,300,,300,300,,300,,300,,
,,,,,,,,,,,,,,,,,,,,,
605503,,Organizational Learning and Development,,,,,,"4,000","3,000",,"3,000","2,200",,"2,200","2,200",,"2,200",,"2,200",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"1,640","5,000",,"5,000","2,000",,"2,000","2,000",,"2,000",,"2,000",,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,0,"1,000",,"1,000",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,22,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
02020 Organization Development Office ,,,,,,,,"296,595","306,602",,"306,602","295,661",,"297,818","296,943",,"299,100",,"299,100",,
,,,,,,,,,,,,,,,,,,,,,
02021 Office of Volunteer Resources ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,0,"59,730",,"59,730","60,931",,"60,931","60,931",,"60,931",,"60,931",,
,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"61,747",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,0,"31,585",,"31,585","32,220",,"32,220","32,220",,"32,220",,"32,220",,
,,,,,,,,,,,,,,,,,,,,,
601311,,Part Time Salaries,,,,,,"12,019",0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,0,"11,388",,"11,388","12,020",,"12,020","12,020",,"12,020",,"12,020",,
,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,0,832,,832,832,,832,832,,832,,832,,
,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"4,543","6,367",,"6,367","6,521",,"6,521","6,521",,"6,521",,"6,521",,
,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"1,062","1,489",,"1,489","1,524",,"1,524","1,524",,"1,524",,"1,524",,
,,,,,,,,,,,,,,,,,,,,,
602201,,VRS Plan 1 Retirement,,,,,,"9,310","18,884",,"18,884","6,019",,"6,341","6,019",,"6,341",,"6,341",,
,,,,,,,,,,,,,,,,,,,,,
602206,,VRS Plan 2 Retirement,,,,,,0,0,,0,"9,554",,"10,773","10,773",,"11,991",,"11,991",,
,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"10,800","12,314",,"12,314","12,417",,"12,417","12,417",,"12,417",,"12,417",,
,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,172,"1,087",,"1,087","1,108",,"1,108","1,108",,"1,108",,"1,108",,
,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,22,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603119,,Police Record Checks,,,,,,37,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
603301,,Media Advertising,,,,,,0,884,,884,884,,884,884,,884,,884,,
,,,,,,,,,,,,,,,,,,,,,
603302,,Publicity and Public Relations,,,,,,"1,154","5,979",,"5,979","5,979",,"5,979","5,979",,"5,979",,"5,979",,
,,,,,,,,,,,,,,,,,,,,,
603321,,Volunteer Recognition Reimbursement,,,,,,"15,710","13,257",,"13,257","13,257",,"13,257","13,257",,"13,257",,"13,257",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
603401,,Printing And Binding (Outside),,,,,,0,0,,0,"4,312",,"4,312","4,312",,"4,312",,"4,312",,
,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"1,800",936,,936,936,,936,936,,936,,936,,
,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"1,827","2,904",,"2,904","2,904",,"2,904","2,904",,"2,904",,"2,904",,
,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"2,935","4,621",,"3,780",0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,155,239,,239,321,,321,321,,321,,321,,
,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,208,"1,144",,"1,144","1,144",,"1,144","1,144",,"1,144",,"1,144",,
,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,0,208,,208,208,,208,208,,208,,208,,
,,,,,,,,,,,,,,,,,,,,,
605401,,Lease/Rent of Equipment,,,,,,0,0,,0,943,,943,943,,943,,943,,
,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"1,108","2,972",,"2,972","2,972",,"2,972","2,972",,"2,972",,"2,972",,
,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,425,"1,591",,"1,591","1,591",,"1,591","1,591",,"1,591",,"1,591",,
,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,0,364,,364,364,,364,364,,364,,364,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"11,127","2,500",,"2,500","2,500",,"2,500","2,500",,"2,500",,"2,500",,
,,,,,,,,,,,,,,,,,,,,,
606027,,Volunteer Recognition Items,,,,,,705,"10,392",,"10,392","10,392",,"10,392","10,392",,"10,392",,"10,392",,
,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,990,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,140,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,0,572,,572,572,,572,572,,572,,572,,
,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,"10,418","12,644",,"12,644","12,644",,"12,644","12,644",,"12,644",,"12,644",,
,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,260,156,,156,156,,156,156,,156,,156,,
,,,,,,,,,,,,,,,,,,,,,
606421,,Agricultural Supplies,,,,,,962,"1,040",,"1,040","1,040",,"1,040","1,040",,"1,040",,"1,040",,
,,,,,,,,,,,,,,,,,,,,,
607831,,New Computer Workstation,,,,,,933,0,,0,0,,0,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   3:52:52PM - ET,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2014,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2012,FY 2013,,FY 2013,FY 2014,,FY 2015,FY 2016,,FY 2017,,FY 2018,,
,,,,,,,,,,,,,,,,,,,,,
